season,round,pick,team,pfr_player_id,pfr_player_name,position,college,allpro,probowls,seasons_started,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions
2005,5,142,TEN,NashDa00,Damien Nash,RB,Missouri,0,0,0,6,24,98,0,0,0,4,0,7,7,55,0,0,0,-2,43,2,0
2005,6,182,NYJ,HousCe00,Cedric Houston,RB,Tennessee,0,0,0,20,195,676,7,0,0,35,0,15,15,109,0,1,1,-14,57,3,0
2005,6,201,ATL,CobbDe00,DeAndra Cobb,RB,Michigan St.,0,0,0,3,,,,,,,,,,,,,,,,,
2005,7,221,TAM,,Rick Razzano,RB,Mississippi,0,0,0,,,,,,,,,,,,,,,,,,
2005,7,236,BUF,GateLi00,Lionel Gates,RB,Louisville,0,0,0,1,,,,,,,,,,,,,,,,,
2005,7,243,IND,,Anthony Davis,RB,Wisconsin,0,0,0,,,,,,,,,,,,,,,,,,
2005,7,244,PIT,HerrNo00,Noah Herron,RB,Northwestern,0,0,0,23,85,273,3,0,0,16,0,29,29,211,2,1,1,4,207,11,0
2006,1,2,NOR,BushRe00,Reggie Bush,RB,USC,0,0,8,134,1331,5720,39,28,16,258,3,506,618,3900,20,2,0,673,3533,187,1
2006,1,21,NWE,MaroLa00,Laurence Maroney,RB,Minnesota,0,0,0,49,711,2873,24,6,4,165,1,50,57,526,1,1,1,-14,538,22,0
2006,1,27,CAR,WillDe02,DeAngelo Williams,RB,Memphis,0,1,6,142,1770,8241,62,12,9,369,2,247,305,2167,9,4,3,-60,2265,89,2
2006,1,30,IND,AddaJo00,Joseph Addai,RB,LSU,0,1,4,78,1253,5074,43,9,6,297,1,237,264,1746,9,0,0,280,1534,84,0
2006,2,45,TEN,WhitLe01,LenDale White,RB,USC,0,0,1,58,663,2461,24,6,6,128,0,47,49,236,0,1,1,-28,259,11,0
2006,2,60,JAX,DrewMa00,Maurice Jones-Drew,RB,UCLA,1,3,4,126,1861,8215,69,17,9,428,0,353,427,3036,12,6,2,236,2936,134,0
2006,3,74,DET,CalhBr00,Brian Calhoun,RB,Wisconsin,0,0,0,11,14,49,0,1,0,2,0,7,7,55,0,0,0,21,29,2,0
2006,3,79,ATL,NorwJe00,Jerious Norwood,RB,Mississippi St.,0,0,0,66,399,2070,7,1,1,88,0,98,104,940,3,1,1,117,854,38,0
2006,4,117,NYJ,WashLe00,Leon Washington,RB,Florida St.,1,2,1,126,498,2329,16,4,3,87,1,173,207,1321,4,2,1,191,1190,59,1
2006,4,132,BAL,DaniP.00,P.J. Daniels,RB,Georgia Tech,0,0,0,,,,,,,,,,,,,,,,,,
2006,5,145,CLE,HarrJe00,Jerome Harrison,RB,Washington St.,0,0,0,63,357,1684,7,5,3,75,0,70,88,490,3,0,0,-32,510,19,0
2006,5,163,SEA,KirtDa00,David Kirtman,RB,USC,0,0,0,7,,,,,,,,,,,,,,,,,
